,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BASE DEL 330-69,,,,,,,,PEDIDO :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13501,,,,,,,,SEMANA :,202540,,, ANALISIS PROPUESTA DE COSTOS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BLANCO,,,,,,,,PARES,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLIENTE:,VAZZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,FECHA DE ENTREGA :,10/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULTIMA ACTUALIZACION,,MOLDURA 330-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/11/2023,KARLA,22 AL 26,,,,,,,,PEDIDO DEL 22 AL 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPCI‡N,NOMBRE,COLOR ,PROVEDOR, PRECIO (SIN IVA) , PRECIO NETO , UNIDAD COMPRA , ANCHO , CONSUMOS , UNIDAD CONSUMO ,REQUERIMIENTO A COMPRAR,UNIDAD,OC,COMPRADO, CONVERSION , CTO/PAR , PRESUP , COSTO REAL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNTERA,ROBIN SPORT VIRGEN,ARTICO,OFICINA LENM, $60.00 , $60.00 , MT ,137,2.35,DM,10.1,MTS,,, $0.438 , $1.029 , $607.2 , $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OJILLERO,ROBIN SPORT VIRGEN,ARTICO,OFICINA LENM, $60.00 , $60.00 , MT ,137,2.25,DM,9.7,MTS,,, $0.438 , $0.985 , $581.4 ,,,47345.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALON,ROBIN SPORT VIRGEN,ARTICO,OFICINA LENM, $60.00 , $60.00 , MT ,137,4.82,DM,20.8,MTS,,, $0.438 , $2.111 ," $1,245.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMATE,ROBIN SPORT VIRGEN,ARTICO,OFICINA LENM, $60.00 , $60.00 , MT ,137,0.48,DM,2.1,MTS,,, $0.438 , $0.210 , $124.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENGUA,ROBIN SPORT VIRGEN,ARTICO,OFICINA LENM, $60.00 , $60.00 , MT ,137,2.14,DM,9.2,MTS,,, $0.438 , $0.937 , $553.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATERALES,ROBIN SPORT / LAM KOREANO BCO,ARTICO,OFICINA LENM, $60.00 , $60.00 , MT ,137,7.452,DM,32.1,MTS,,, $0.438 , $3.264 ," $1,925.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLICACI‡N TIRAS (2 POR PIE) LADO EXTERNO,SELMA / LAM KOREANO BCO,PLATINA,COTEXCA, $63.00 , $73.08 , MT ,137,2.35,DM,10.1,MTS,,, $0.522 , $1.227 , $723.8 , $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALOMA,SELMA / LAM KOREANO BCO,PLATINA,COTEXCA, $63.00 , $73.08 , MT ,137,0.92,DM,4.0,MTS,,, $0.533 , $0.491 , $289.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORRO LENGUA Y TALONES,ALFA CON ESPUMA BCA + PELLON,BLANCA TX 0005-008,ACOPOL, $43.00 , $49.88 , MT ,137,20.55,DM,88.5,MTS,,, $0.364 , $7.482 ," $4,414.4 ", $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REFUERZO EVA LATERALES,EVA 1.5 MM ,BLANCO,ACOPOL, $16.50 , $19.14 , MT ,137,10.08,DM,43.4,MTS,,, $0.140 , $1.408 , $830.9 , $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANTILLA,MALLA BALTICO C/EVA EN 2 MM,BLANCA,ACOPOL, $56.00 , $64.96 , MT ,137,4.5,DM,19.4,MTS,,, $0.474 , $2.134 ," $1,258.9 ", $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
